fixture_id,team_id,team,opponent_id,opponent,date,opp_n_prior,h2h_n_prior,h2h_last3_winrate,h2h_last3_margin,opp_concede_tries,opp_concede_metres,opp_concede_db,opp_concede_breaks,opp_concede_offloads,opp_concede_passes,opp_concede_lineout_steal,opp_concede_scrums,opp_turnovers_conceded,opp_missed_tackles,opp_runs,opp_tackles,opp_possession,opp_pens_conceded,opp_scrum_success,opp_scrums_won,opp_lineout_success,opp_lineout_steal,team_wr_pos,team_wr_pts,opp_wr_pos,opp_wr_pts,wr_pts_gap,wr_rank_gap
8428885,1967,France,1517,Wales,2024-03-10,18,3,1.0,6.333333333333333,3.1005930894875027,408.28358500242604,23.142227905398546,7.543837073746243,6.934555276313644,165.3199474606413,0.9261634872776711,4.734861579111991,10.327806444200903,23.142227905398546,126.29888836637053,151.1775945172933,0.5116638474451696,7.766387937795095,0.6568864986278677,4.081769758765091,0.8119170514490586,0.6622697718214402,4,86.39234275779967,8,79.53860099154961,6.853741766250053,4
8428894,1517,Wales,2873,Italy,2024-03-16,19,3,0.6666666666666666,17.333333333333332,3.3114090600493524,521.8417177841791,31.92414856382734,6.362795519962157,12.426306443880737,205.5339875453548,1.1865258833641075,4.782543287649267,12.111241800921691,31.92414856382734,97.18124484733113,188.20262427849408,0.43240241941658797,9.20165510976266,0.7272101462546013,4.514357774654125,0.7897361562140989,0.4714887068376984,8,78.61666225648712,9,78.05363024195304,0.5630320145340733,1
8428894,2873,Italy,1517,Wales,2024-03-16,19,3,0.3333333333333333,-17.333333333333332,3.608720237283643,439.7749446844675,23.906735802808182,6.595793863747059,8.02213836371656,167.37450626536625,0.6783972984854283,5.875866494260371,11.310187432358987,23.906735802808182,116.58825158196628,157.81805582632572,0.4924924175630984,7.561364719872763,0.6336427226442058,4.059894807132914,0.8381560888131895,0.7526189732585392,9,78.05363024195304,8,78.61666225648712,-0.5630320145340733,-1
8428903,1817,Ireland,2117,Scotland,2024-03-16,19,3,1.0,19.333333333333332,2.7048911696903177,387.3471791695267,17.847877409406607,4.438024307608424,3.1971040611304584,145.20607082080468,0.9360961399439413,2.989767288658292,11.674062542908112,17.847877409406607,128.20294321427707,140.466441758861,0.5265473686155095,10.974183094603507,0.7127918876775163,5.496941511871382,0.8602322585922382,1.1665634943965844,2,90.68918812851904,6,82.81563554112896,7.87355258739008,4
8428903,2117,Scotland,1817,Ireland,2024-03-16,19,3,0.0,-19.333333333333332,1.2923387273756672,365.6656179996898,19.752419822721688,3.861326718539782,5.964161130567922,134.50631525089813,0.3157104821182969,3.6517824060787234,10.22214058921615,19.752419822721688,132.8289545289485,138.17700676917016,0.5482437659508133,10.686360621537181,0.80031947282568,4.571705349646015,0.9157876506722105,1.1919257756892634,6,82.81563554112896,2,90.68918812851904,-7.87355258739008,-4
8428912,1967,France,1667,England,2024-03-16,19,3,0.6666666666666666,17.333333333333332,2.3539056328371113,293.1114894397169,20.836215708414645,4.065243300835814,6.723419642094839,126.41003691052126,0.7514203255045714,4.929068017060656,13.90353729294809,20.836215708414645,102.55962852107704,122.12126862699994,0.5077263673573944,7.727686530744933,0.8080082786808834,3.8297971171856253,0.9248125662574197,0.9154017427419728,4,87.31428149286216,5,86.34842316027223,0.9658583325899315,1
8428912,1667,England,1967,France,2024-03-16,19,3,0.3333333333333333,-17.333333333333332,2.459780211192155,405.2943362453072,15.218495610750292,4.415807739802614,7.112436134011911,165.5740497469366,1.1387059172189293,5.162938708942247,13.990166123582762,15.218495610750292,115.59068494652927,133.7300044578202,0.49285409556649407,8.013473204959277,0.8919653250001922,4.923880252628763,0.8582519712171566,0.5126902390117682,5,86.34842316027223,4,87.31428149286216,-0.9658583325899315,-1
8476108,1967,France,1517,Wales,2025-01-31,20,3,1.0,12.666666666666666,3.256644887137251,411.15428499916203,22.176312630542284,6.246547506102621,7.579584676661505,151.7538882719382,0.5299271289263495,5.903033646438413,12.555427409822112,22.176312630542284,127.18337115618039,146.91515982106236,0.5182094578989526,8.75163346653969,0.670050729031531,4.046786570719553,0.8735763255824938,0.5879050706198551,4,88.512701166648,11,74.00604074918199,14.506660417466009,7
8476108,1517,Wales,1967,France,2025-01-31,20,3,0.0,-12.666666666666666,2.7967292090940106,380.7280604820299,15.826996503562954,4.981143283980506,5.994004696687053,147.07205313722602,1.10836166365876,4.689759468033178,13.992317449535305,15.826996503562954,117.64913095614962,121.31936131978748,0.5141063969503603,7.354225230096517,0.8434066748833386,4.284232243774882,0.8761357281841747,0.619297449765676,11,74.00604074918199,4,88.512701166648,-14.506660417466009,-7
8476117,2117,Scotland,2873,Italy,2025-02-01,20,3,0.6666666666666666,7.333333333333333,3.243344398038174,503.0792980057911,31.066447616924147,6.064929374250555,10.803139031814828,212.63008219406524,0.9271869829291142,4.6115028420870114,12.305497634134579,31.066447616924147,94.08165090077607,194.0597252921313,0.42313452481651137,9.157579362940627,0.7321913233989622,4.839074518353482,0.835693513582541,0.36843544477811035,6,83.34401327622288,10,78.64273318866208,4.701280087560804,4
