season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2023,1266,Six Nations,1,8380528,2023-02-04,Wales,1517,Ireland,1817,home,10,34,L,-24,1,4,1,4,1,2,0,0,0.48,69,449,69,6,1,17,25,0.77,0,3,10,2,4,2,0,0,0,0,34,10,177,0.4,0.54,15,1,0.48,0,0,4,101,97,156,0,0.75,3,200,14,5,1
2023,1266,Six Nations,1,8380528,2023-02-04,Ireland,1817,Wales,1517,away,34,10,W,24,4,1,4,1,2,1,0,0,0.52,73,443,58,5,4,34,29,1.0,2,0,15,0,11,11,0,0,0,0,17,5,151,0.6,0.46,13,2,0.52,0,0,3,110,107,151,1,0.67,6,172,7,8,0
2023,1266,Six Nations,1,8380537,2023-02-04,England,1667,Scotland,2117,home,23,29,L,-6,3,4,1,3,2,1,0,0,0.64,80,564,67,2,1,22,37,0.88,0,2,14,0,5,5,1,0,2,0,20,7,205,0.58,0.56,10,2,0.57,0,0,5,131,126,179,0,1.0,2,110,8,3,0
2023,1266,Six Nations,1,8380537,2023-02-04,Scotland,2117,England,1667,away,29,23,W,6,4,3,3,1,1,2,0,0,0.36,38,398,62,6,3,20,41,1.0,2,0,10,0,1,1,0,0,1,0,22,4,124,0.42,0.44,9,1,0.43,0,0,2,66,64,107,0,0.71,5,227,12,4,0
2023,1266,Six Nations,1,8380546,2023-02-05,Italy,2873,France,1967,home,24,29,L,-5,1,4,0,3,4,1,0,0,0.86,75,398,57,3,0,13,26,0.91,1,2,20,1,6,5,1,0,1,1,35,5,200,0.53,0.6,7,4,0.57,0,0,2,105,103,146,1,0.83,5,122,12,6,0
2023,1266,Six Nations,1,8380546,2023-02-05,France,1967,Italy,2873,away,29,24,W,5,4,1,3,0,1,4,0,0,0.14,60,426,34,5,3,35,25,0.78,2,2,7,0,6,6,1,0,1,1,13,11,134,0.47,0.4,18,1,0.43,0,0,5,70,65,108,0,1.0,2,168,13,5,1
2023,1266,Six Nations,2,8380555,2023-02-11,Ireland,1817,France,1967,home,32,19,W,13,4,1,3,1,2,3,0,1,0.37,86,690,57,6,3,23,39,0.73,0,3,8,0,6,6,0,0,1,0,38,6,216,0.52,0.56,7,2,0.54,0,0,6,143,137,173,0,1.0,4,148,9,4,0
2023,1266,Six Nations,2,8380555,2023-02-11,France,1967,Ireland,1817,away,19,32,L,-13,1,4,1,3,3,2,1,0,0.63,72,666,47,5,1,38,37,1.0,0,0,10,0,4,4,0,0,0,1,23,12,178,0.48,0.44,7,3,0.46,0,0,3,88,85,136,0,1.0,1,248,12,3,1
2023,1266,Six Nations,2,8380564,2023-02-11,Scotland,2117,Wales,1517,home,35,7,W,28,5,1,2,1,2,0,0,0,0.67,49,442,40,10,2,28,30,0.95,2,1,19,1,12,11,3,0,3,0,9,4,153,0.41,0.58,11,2,0.5,0,0,4,82,78,104,2,0.4,2,174,9,7,1
2023,1266,Six Nations,2,8380564,2023-02-11,Wales,1517,Scotland,2117,away,7,35,L,-28,1,5,1,2,0,2,0,0,0.33,69,318,35,1,1,9,25,0.79,1,3,11,1,8,7,0,1,0,1,28,8,180,0.59,0.42,17,0,0.5,0,0,3,107,104,129,0,1.0,3,146,10,7,2
2023,1266,Six Nations,2,8380573,2023-02-12,England,1667,Italy,2873,home,31,14,W,17,4,2,2,2,0,0,0,0,0.38,59,305,25,4,2,21,30,1.0,0,0,21,1,10,9,2,1,2,0,40,5,128,0.53,0.44,7,0,0.48,0,0,2,70,68,91,0,0.78,7,178,14,6,0
2023,1266,Six Nations,2,8380573,2023-02-12,Italy,2873,England,1667,away,14,31,L,-17,2,4,2,2,0,0,0,0,0.62,56,395,69,6,2,40,23,1.0,0,0,14,1,2,1,0,0,0,0,21,10,199,0.47,0.56,14,0,0.52,0,0,6,113,107,139,2,0.67,6,127,13,5,2
2023,1266,Six Nations,3,8380582,2023-02-25,Italy,2873,Ireland,1817,home,20,34,L,-14,2,5,2,3,2,1,0,0,0.57,45,479,48,6,2,27,19,0.93,1,1,13,1,4,3,0,0,0,0,18,3,186,0.56,0.43,10,2,0.5,0,0,6,81,75,104,1,0.88,7,174,17,4,0
2023,1266,Six Nations,3,8380582,2023-02-25,Ireland,1817,Italy,2873,away,34,20,W,14,5,2,3,2,1,2,0,0,0.43,67,514,47,8,3,18,23,0.92,1,1,11,1,9,8,0,0,2,0,27,7,185,0.44,0.57,10,1,0.5,0,0,0,95,95,135,0,0.8,4,133,12,8,0
