id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
243190,Blair Murray,Wales,1,Back Three,4.5,8.9,P,Fiji,False,16,0,-8.9,0.989,14.19,78.4,15.36,6.96
226250,Isoa Nasilasila,Fiji,2,Lock,4.5,3.6,P,Wales,True,20,0,8.9,0.989,7.58,73.2,7.65,3.47
226185,Kitione Salawa,Fiji,2,Loose Forward,4.5,5.5,P,Wales,True,12,0,8.9,0.989,14.9,62.3,12.81,5.8
249307,Ellis Mee,Wales,1,Back Three,4.5,0.2,B,Fiji,False,8,0,-8.9,0.989,10.39,24.0,3.44,9.35
245177,Tiennan Costley,Japan,2,Loose Forward,4.5,0.2,B,Italy,True,11,0,-7.9,0.992,12.18,15.2,2.55,6.93
199383,Ciaran Frawley,Ireland,1,Fly Half,4.5,0.5,B,Australia,False,12,0,8.6,1.0,18.84,21.6,5.61,15.24
190215,Kieran Hardy,Wales,1,Scrum Half,4.0,0.3,B,Fiji,False,17,0,-8.9,0.989,12.66,8.0,1.4,3.8
170835,James Slipper,Australia,2,Prop,4.0,0.2,B,Ireland,True,15,0,-8.6,1.0,8.39,23.0,2.66,7.23
182833,Taniela Tupou,Australia,2,Prop,4.0,1.4,B,Ireland,True,18,0,-8.6,1.0,5.87,35.0,2.84,7.71
251198,Lachlan Shaw,Australia,2,Lock,4.0,0.4,B,Ireland,True,0,0,-8.6,1.0,2.74,24.0,0.91,2.47
210952,Tate McDermott,Australia,2,Scrum Half,4.0,0.9,B,Ireland,True,20,0,-8.6,1.0,13.3,29.1,5.34,14.51
105642,Craig Casey,Ireland,1,Scrum Half,4.0,0.3,B,Australia,False,17,0,8.6,1.0,15.63,8.7,1.88,5.11
237231,Mirco Spagnolo,Italy,1,Prop,4.0,0.3,B,Japan,False,24,0,7.9,0.992,21.81,24.7,7.43,20.19
174208,Riccardo Favretto,Italy,1,Lock,4.0,0.1,B,Japan,False,12,0,7.9,0.992,17.38,16.7,4.01,10.9
178772,Gonzalo Garcia,Argentina,2,Scrum Half,4.0,1.8,P,Scotland,True,12,0,9.7,1.0,10.92,62.2,9.37,4.25
235935,Ignacio Ruiz,Argentina,2,Hooker,4.0,0.2,B,Scotland,True,21,0,9.7,1.0,17.8,14.8,3.63,9.86
240916,Boris Wenger,Argentina,2,Prop,4.0,0.2,B,Scotland,True,5,0,9.7,1.0,5.27,19.0,1.38,3.75
237152,Joaquin Moro,Argentina,2,Loose Forward,4.0,0.3,B,Scotland,True,3,0,9.7,1.0,9.19,31.0,3.93,10.68
