engine,fixture_id,target,n,mae
p3_balanced_native,8472346,try_assists,46,0.1599374806636637
p3_balanced_native,8472346,conversion_goals,46,0.0678690350853712
p3_balanced_native,8472346,missed_conversion_goals,46,0.038356567780798
p3_balanced_native,8472346,penalty_goals,46,0.0565231627295743
p3_balanced_native,8472346,missed_penalty_goals,46,0.0094269861089275
p3_balanced_native,8472346,drop_goals_converted,46,0.0002349720166692
p3_balanced_native,8472346,drop_goal_missed,46,0.0017977085887831
p3_balanced_native,8472346,defenders_beaten,46,0.8352096808353702
p3_balanced_native,8472346,clean_breaks,46,0.2464077030838661
p3_balanced_native,8472346,offload,46,0.4201262790624163
p3_balanced_native,8472346,runs,46,1.6911013753393644
p3_balanced_native,8472346,tackles,46,1.8031284161413943
p3_balanced_native,8472346,missed_tackles,46,0.6549636200836517
p3_balanced_native,8472346,rucks_won,46,1.473757291345207
p3_balanced_native,8472346,rucks_lost,46,0.2506446855215307
p3_balanced_native,8472346,passes,46,2.5084438337580752
p3_balanced_native,8472346,bad_passes,46,0.527977993445291
p3_balanced_native,8472346,turnovers_conceded,46,0.616885083728647
p3_balanced_native,8472346,penalties_conceded,46,0.5393783745279337
p3_balanced_native,8472346,yellow_cards,46,0.0798424445680147
p3_balanced_native,8472346,red_cards,46,0.0005305831989844
p3_balanced_native,8472346,metres,46,10.495115841136942
p3_balanced_recent_native,8472346,minutes,46,6.15240160847494
p3_balanced_recent_native,8472346,tries,46,0.1643910890547618
p3_balanced_recent_native,8472346,try_assists,46,0.1605402257390372
p3_balanced_recent_native,8472346,conversion_goals,46,0.0651978554453678
p3_balanced_recent_native,8472346,missed_conversion_goals,46,0.0376004779636326
p3_balanced_recent_native,8472346,penalty_goals,46,0.0627695867743447
p3_balanced_recent_native,8472346,missed_penalty_goals,46,0.0086114365507942
p3_balanced_recent_native,8472346,drop_goals_converted,46,0.0002270733414256
p3_balanced_recent_native,8472346,drop_goal_missed,46,0.0016312442903368
p3_balanced_recent_native,8472346,defenders_beaten,46,0.8329598918254212
p3_balanced_recent_native,8472346,clean_breaks,46,0.2439764720839192
p3_balanced_recent_native,8472346,offload,46,0.4204585001706063
p3_balanced_recent_native,8472346,runs,46,1.6624109888923202
p3_balanced_recent_native,8472346,tackles,46,1.7697421073163802
p3_balanced_recent_native,8472346,missed_tackles,46,0.6600936967097243
p3_balanced_recent_native,8472346,rucks_won,46,1.4409110959462013
p3_balanced_recent_native,8472346,rucks_lost,46,0.2484823384519547
p3_balanced_recent_native,8472346,passes,46,2.6089688138569973
p3_balanced_recent_native,8472346,bad_passes,46,0.5328476088758013
p3_balanced_recent_native,8472346,turnovers_conceded,46,0.6171017581777075
p3_balanced_recent_native,8472346,penalties_conceded,46,0.5402596575210766
p3_balanced_recent_native,8472346,yellow_cards,46,0.0795240837747
p3_balanced_recent_native,8472346,red_cards,46,0.0004515989588213
p3_balanced_recent_native,8472346,metres,46,10.476294255161688
empirical_raw,8476315,minutes,46,9.662750587574465
empirical_raw,8476315,tries,46,0.2836622522675333
empirical_raw,8476315,try_assists,46,0.1451214201229484
empirical_raw,8476315,conversion_goals,46,0.1755653010633855
empirical_raw,8476315,missed_conversion_goals,46,0.0519166499763325
empirical_raw,8476315,penalty_goals,46,0.0514517771598874
empirical_raw,8476315,missed_penalty_goals,46,0.0117661476195085
empirical_raw,8476315,drop_goals_converted,46,0.0010955348533911
empirical_raw,8476315,drop_goal_missed,46,0.0027316295625978
