Player,Nation,Position,MP,POTM,MC,DB,OF,T,As,C,Pen,DG,SW,50-22,Ta,BS,LS,CPen,YC,RC ,AP
J. Hathaway,Wales,Back Row,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
J. Bhatti,Scotland,Centre,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
E. Johnson,Scotland,Wing,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
R. Favretto,Italy,Wing,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5
R. Herring,Ireland,Centre,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
K. Steyn,Scotland,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
N. Depoortere,France,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
A. Hastings,Scotland,Number 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
B. Serin,France,Scrum-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. Stockdale,Ireland,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G. Drean,France,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
J. O'Brien,Ireland,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C. Tshiunza,Wales,Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
E. Bevan,Wales,Scrum-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
D. Cretin,France,Fly-half,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
C. Frawley,Ireland,Number 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
O. Smith,Scotland,Back Row,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
